timestamp,value
1733760000000,10.2
1733760060000,10.5
1733760120000,10.1
1733760180000,10.4
1733760240000,10.3
1733760300000,33.5
1733760360000,10.2
1733760420000,10.6
1733760480000,10.1
1733760540000,10.4
1733760600000,-4.8
1733760660000,10.2
1733760720000,10.5
1733760780000,10.2
1733760840000,10.4
1733760900000,34.2
1733760960000,10.3
1733761020000,10.6
1733761080000,10.1
1733761140000,10.5
1733761200000,-5.2
1733761260000,10.2
1733761320000,10.4
1733761380000,10.1
1733761440000,10.6
1733761500000,32.9
1733761560000,10.3
1733761620000,10.5
1733761680000,10.2
1733761740000,10.4
1733761800000,-4.6
1733761860000,10.2
1733761920000,10.6
1733761980000,10.1
1733762040000,10.5
1733762100000,35.1
1733762160000,10.3
1733762220000,10.4
1733762280000,10.2
1733762340000,10.6
1733762400000,-5.5
1733762460000,10.2
1733762520000,10.5
1733762580000,10.1
1733762640000,10.4
1733762700000,33.8
1733762760000,10.3
1733762820000,10.6
1733762880000,10.2
1733762940000,10.5
1733763000000,-4.9
1733763060000,10.2
1733763120000,10.4
1733763180000,10.1
1733763240000,10.6
1733763300000,34.7
1733763360000,10.3
1733763420000,10.5
1733763480000,10.2



